,Brand,Model,AccelSec,TopSpeed_KmH,Range_Km,Efficiency_WhKm,FastCharge_KmH,RapidCharge,PlugType,BodyStyle,Segment,Seats,PriceRupees
86,Tesla ,Cybertruck Single Motor,7,180,390,256,740,No,Type 2 CCS,Pickup,N,6,4075695
87,Audi ,e-tron Sportback 50 quattro,7,190,295,219,470,Yes,Type 2 CCS,SUV,E,5,6299303.62
88,Skoda ,Enyaq iV vRS,6,180,400,193,540,Yes,Type 2 CCS,SUV,C,5,4302122.5
89,Skoda ,Enyaq iV 60,9,160,320,181,440,Yes,Type 2 CCS,SUV,C,5,3396412.5
90,Audi ,e-tron S 55 quattro,5,210,320,270,510,Yes,Type 2 CCS,SUV,E,5,8495559.8
91,Smart ,EQ fortwo cabrio,12,130,95,176,200,No,Type 2,Cabrio,A,2,2224876.61
92,Kia ,e-Soul 64 kWh,8,167,365,175,320,No,Type 2 CCS,SUV,B,5,3336363.93
93,Nissan ,Ariya e-4ORCE 87kWh,6,200,420,207,500,Yes,Type 2 CCS,Hatchback,C,5,5207832.5
94,Fiat ,500e Convertible,9,150,250,168,330,Yes,Type 2 CCS,Cabrio,B,4,3432640.9
95,Volkswagen ,ID.3 Pro Performance,7,160,340,171,470,Yes,Type 2 CCS,Hatchback,C,5,3222063.32
96,Kia ,e-Soul 39 kWh,10,157,230,170,220,Yes,Type 2 CCS,SUV,B,5,3000888.94
97,Byton ,M-Byte 72 kWh 2WD,8,190,325,222,420,No,Type 2 CCS,SUV,E,5,4845548.5
98,Nissan ,Ariya 63kWh,8,160,330,191,440,Yes,Type 2 CCS,Hatchback,C,5,4075695
99,Audi ,e-tron S Sportback 55 quattro,5,210,335,258,540,Yes,Type 2 CCS,SUV,E,5,8699344.55
100,Nissan ,Ariya e-4ORCE 63kWh,6,200,325,194,440,Yes,Type 2 CCS,Hatchback,C,5,4528550
101,Nissan ,Ariya e-4ORCE 87kWh Performance,5,200,375,232,450,Yes,Type 2 CCS,Hatchback,C,5,5887115
102,Byton ,M-Byte 95 kWh 2WD,8,190,400,238,480,No,Type 2 CCS,SUV,E,5,5615402
